clip_name,start_time,end_time,label_0,label_1
TV-20220103-2020-2800.webl.h264_170,137.69,146.32,2,5
TV-20220103-2020-2800.webl.h264_171,146.32,153.56,1,1
TV-20220103-2020-2800.webl.h264_172,153.56,166.29,2,5
TV-20220103-2020-2800.webl.h264_173,166.338,173.77,1,1
TV-20220103-2020-2800.webl.h264_174,173.78,201.19,1,1
TV-20220122-2021-3600.webl.h264_175,289.08,311.78,1,1
TV-20220122-2021-3600.webl.h264_176,311.82,322.51,2,3
TV-20220122-2021-3600.webl.h264_177,322.51,341.84,1,1
TV-20220122-2021-3600.webl.h264_178,341.84,353.87,2,5
TV-20220122-2021-3600.webl.h264_179,353.93,381.69,1,1
TV-20220122-2021-3600.webl.h264_180,381.76,396.86,2,3
TV-20220122-2021-3600.webl.h264_181,396.909,406.2,1,1
TV-20220104-2020-5700.webl.h264_182,157.51,186.24,0,0
TV-20220104-2020-5700.webl.h264_183,186.24,218.79,1,1
TV-20220104-2020-5700.webl.h264_184,218.8,232.58,2,5
TV-20220104-2020-5700.webl.h264_185,232.58,265.52,1,1
TV-20220104-2020-5700.webl.h264_186,265.52,278.04,2,3
TV-20220104-2020-5700.webl.h264_187,278.04,290.02,1,1
TV-20220104-2020-5700.webl.h264_188,290.02,300.44,2,5
TV-20220104-2020-5700.webl.h264_189,300.489,311.561,1,1
TV-20220104-2020-5700.webl.h264_190,311.58,340.39,0,0
TV-20220104-2020-5700.webl.h264_191,340.4,360.48,1,1
TV-20220104-2020-5700.webl.h264_192,369.94,379.2,1,1
TV-20220104-2020-5700.webl.h264_193,379.2,401.21,2,3
TV-20220104-2020-5700.webl.h264_194,401.24,413.03,1,1
TV-20220104-2020-5700.webl.h264_195,413.05,419.88,2,4
TV-20220104-2020-5700.webl.h264_196,419.88,429.86,2,4
TV-20220104-2020-5700.webl.h264_197,429.959,439.818,1,1
TV-20220104-2020-5700.webl.h264_198,439.818,457.58,2,5
TV-20220104-2020-5700.webl.h264_199,457.616,465.98,2,4
TV-20220118-1805-1800.webl.h264_200,186.52,216.54,0,0
TV-20220118-1805-1800.webl.h264_201,216.55,228.62,2,4
TV-20220118-1805-1800.webl.h264_202,228.62,231.721,2,5
TV-20220118-1805-1800.webl.h264_203,231.721,240.78,2,4
TV-20220118-1805-1800.webl.h264_204,240.78,256.97,2,5
TV-20220118-1805-1800.webl.h264_205,257.0,285.78,0,0
TV-20220118-1805-1800.webl.h264_206,285.78,305.57,2,3
TV-20220118-1805-1800.webl.h264_207,305.58,315.09,2,4
TV-20220118-1805-1800.webl.h264_208,315.11,387.44,0,0
TV-20220109-2025-2800.webl.h264_209,17.64,48.91,0,0
TV-20220109-2025-2800.webl.h264_210,48.93,76.403,1,1
TV-20220109-2025-2800.webl.h264_211,76.52,89.05,2,5
TV-20220109-2025-2800.webl.h264_212,89.05,96.13,1,1
TV-20220109-2025-2800.webl.h264_213,96.13,105.44,2,5
TV-20220109-2025-2800.webl.h264_214,105.633,178.33,1,1
TV-20230113-2023-1700.webl.h264_215,4.6,7.688,0,0
TV-20230113-2023-1700.webl.h264_216,15.368,17.757,0,0
TV-20230113-2023-1700.webl.h264_217,18.145,45.858,0,0
TV-20230113-2023-1700.webl.h264_218,47.258,58.42,1,1
TV-20230113-2023-1700.webl.h264_219,59.523,72.685,2,5
TV-20230113-2023-1700.webl.h264_220,73.084,99.254,1,1
TV-20230113-2023-1700.webl.h264_221,99.938,110.977,2,5
TV-20230113-2023-1700.webl.h264_222,111.433,140.383,1,1
TV-20230113-2023-1700.webl.h264_223,141.427,172.97,0,0
TV-20230113-2023-1700.webl.h264_224,173.9,175.76,2,2
TV-20230113-2023-1700.webl.h264_225,176.02,204.36,1,1
TV-20230113-2023-1700.webl.h264_226,204.618,217.01,2,2
TV-20230113-2023-1700.webl.h264_227,217.229,259.36,1,1
TV-20230113-2023-1700.webl.h264_228,259.408,266.9,2,4
TV-20230113-2023-1700.webl.h264_229,267.053,270.333,1,1
TV-20230113-2023-1700.webl.h264_230,271.863,318.61,0,0
TV-20230113-2023-1700.webl.h264_231,319.202,334.425,1,1
TV-20230113-2023-1700.webl.h264_232,334.77,341.254,2,3
TV-20230113-2023-1700.webl.h264_233,341.674,353.313,1,1
TV-20230113-2023-1700.webl.h264_234,353.83,364.363,2,3
TV-20230113-2023-1700.webl.h264_235,364.885,375.092,1,1
TV-20230113-2023-1700.webl.h264_236,375.809,382.92,2,5
TV-20230113-2023-1700.webl.h264_237,383.225,412.567,1,1
TV-20230113-2023-1700.webl.h264_238,413.595,464.075,0,0
TV-20230113-2023-1700.webl.h264_239,465.613,485.316,1,1
TV-20230113-2023-1700.webl.h264_240,486.03,506.657,0,0
TV-20230113-2023-1700.webl.h264_241,507.52,525.709,1,1
TV-20230113-2023-1700.webl.h264_242,526.461,538.43,2,5
TV-20230113-2023-1700.webl.h264_243,538.998,548.617,1,1
TV-20230113-2023-1700.webl.h264_244,549.248,563.36,2,3
TV-20230113-2023-1700.webl.h264_245,563.801,567.914,1,1
TV-20230113-2023-1700.webl.h264_246,569.865,596.373,0,0
TV-20230113-2023-1700.webl.h264_247,597.872,607.242,1,1
TV-20230113-2023-1700.webl.h264_248,608.457,619.89,2,5
TV-20230113-2023-1700.webl.h264_249,620.167,628.74,1,1
TV-20230113-2023-1700.webl.h264_250,629.557,642.95,2,5
TV-20230113-2023-1700.webl.h264_251,643.128,647.861,1,1
TV-20230113-2023-1700.webl.h264_252,648.503,660.071,2,3
TV-20230113-2023-1700.webl.h264_253,660.34,678.349,1,1
TV-20230113-2023-1700.webl.h264_254,679.067,690.072,2,5
TV-20230113-2023-1700.webl.h264_255,690.964,704.542,1,1
TV-20230113-2023-1700.webl.h264_256,705.678,745.361,0,0
TV-20230113-2023-1700.webl.h264_257,746.295,807.676,1,1
TV-20230113-2023-1700.webl.h264_258,808.876,839.62,0,0
TV-20230113-2023-1700.webl.h264_259,840.712,889.58,1,1
TV-20230113-2023-1700.webl.h264_260,892.205,910.375,0,0
TV-20220119-2023-5600.webl.h264_261,15.72,66.02,0,0
TV-20220119-2023-5600.webl.h264_262,66.02,85.7,1,1
TV-20220119-2023-5600.webl.h264_263,85.7,99.53,2,3
TV-20220119-2023-5600.webl.h264_264,99.54,122.44,1,1
TV-20220119-2023-5600.webl.h264_265,122.49,131.91,2,3
TV-20220119-2023-5600.webl.h264_266,131.91,138.88,1,1
TV-20220119-2023-5600.webl.h264_267,138.88,156.87,2,5
TV-20220119-2023-5600.webl.h264_268,156.87,177.44,1,1
TV-20220111-2050-1700.webl.h264_269,305.36,339.62,0,0
TV-20220111-2050-1700.webl.h264_270,339.729,362.81,1,1
TV-20220111-2050-1700.webl.h264_271,362.81,375.11,2,5
TV-20220111-2050-1700.webl.h264_272,375.144,388.826,1,1
TV-20220111-2050-1700.webl.h264_273,388.826,402.34,2,5
TV-20220111-2050-1700.webl.h264_274,402.34,409.68,1,1
TV-20220111-2050-1700.webl.h264_275,409.68,416.53,2,5
TV-20220111-2050-1700.webl.h264_276,416.617,432.84,1,1
TV-20220111-2050-1700.webl.h264_277,432.84,440.28,2,5
TV-20220102-2021-1800.webl.h264_278,179.32,210.78,0,0
TV-20220102-2021-1800.webl.h264_279,210.78,247.04,1,1
TV-20220102-2021-1800.webl.h264_280,247.05,274.08,2,3
TV-20220102-2021-1800.webl.h264_281,274.25,284.32,1,1
TV-20220102-2021-1800.webl.h264_282,284.34,292.45,2,3
TV-20220102-2021-1800.webl.h264_283,292.49,300.716,1,1
TV-20220102-2021-1800.webl.h264_284,300.76,320.6,2,5
TV-20220102-2021-1800.webl.h264_285,320.78,329.739,1,1
TV-20220102-2021-1800.webl.h264_286,329.739,382.652,2,4
TV-20220102-2021-1800.webl.h264_287,382.76,413.91,0,0
TV-20220102-2021-1800.webl.h264_288,413.91,424.16,1,1
TV-20220102-2021-1800.webl.h264_289,424.16,430.662,2,4
TV-20220102-2021-1800.webl.h264_290,430.662,437.81,2,4
TV-20220102-2021-1800.webl.h264_291,437.81,452.43,1,1
TV-20220102-2021-1800.webl.h264_292,452.43,460.04,2,4
TV-20220102-2021-1800.webl.h264_293,460.05,503.68,1,1
TV-20220102-2021-1800.webl.h264_294,503.68,525.53,1,1
TV-20220106-2021-1700.webl.h264_295,182.42,236.6,0,0
TV-20220106-2021-1700.webl.h264_296,236.63,265.76,1,1
TV-20220106-2021-1700.webl.h264_297,265.77,285.12,2,5
TV-20220106-2021-1700.webl.h264_298,285.12,303.47,1,1
TV-20220106-2021-1700.webl.h264_299,303.47,319.29,2,5
TV-20220106-2021-1700.webl.h264_300,319.29,329.34,1,1
TV-20220106-2021-1700.webl.h264_301,339.3,346.8,1,1
TV-20220106-2021-1700.webl.h264_302,346.8,380.25,0,0
TV-20220106-2021-1700.webl.h264_303,380.25,406.309,1,1
TV-20220106-2021-1700.webl.h264_304,406.323,415.788,2,3
TV-20220106-2021-1700.webl.h264_305,415.82,426.36,1,1
TV-20220106-2021-1700.webl.h264_306,426.4,449.014,2,3
TV-20220106-2021-1700.webl.h264_307,449.028,456.309,1,1
TV-20220106-2021-1700.webl.h264_308,456.309,468.154,2,3
TV-20220106-2021-1700.webl.h264_309,468.154,473.16,1,1
TV-20220107-2024-3000.webl.h264_310,22.9,53.229,0,0
TV-20220107-2024-3000.webl.h264_311,53.309,66.74,1,1
TV-20220107-2024-3000.webl.h264_312,66.74,86.53,2,5
TV-20220107-2024-3000.webl.h264_313,86.535,126.38,1,1
TV-20220107-2024-3000.webl.h264_314,126.38,143.76,2,5
TV-20220107-2024-3000.webl.h264_315,143.76,159.07,1,1
TV-20220107-2024-3000.webl.h264_316,159.17,168.2,2,5
TV-20220107-2024-3000.webl.h264_317,168.528,183.01,1,1
TV-20220107-2024-3000.webl.h264_318,198.28,206.729,1,1
TV-20220107-2024-3000.webl.h264_319,206.74,213.04,0,0
TV-20220107-2024-3000.webl.h264_320,213.19,279.93,1,1
TV-20220107-2024-3000.webl.h264_321,279.93,311.55,0,0
TV-20220107-2024-3000.webl.h264_322,311.55,328.93,1,1
TV-20220107-2024-3000.webl.h264_323,328.93,342.37,2,4
TV-20220107-2024-3000.webl.h264_324,342.37,359.54,1,1
TV-20220107-2024-3000.webl.h264_325,359.56,375.64,2,3
TV-20220107-2024-3000.webl.h264_326,375.64,386.56,1,1
TV-20220107-2024-3000.webl.h264_327,402.07,413.77,1,1
TV-20220107-2024-3000.webl.h264_328,413.77,430.19,2,3
TV-20220107-2024-3000.webl.h264_329,430.22,437.31,1,1
TV-20220115-2022-0900.webl.h264_330,297.34,324.33,0,0
TV-20220115-2022-0900.webl.h264_331,324.34,345.47,1,1
TV-20220115-2022-0900.webl.h264_332,345.47,363.1,2,3
TV-20220115-2022-0900.webl.h264_333,363.12,382.2,1,1
TV-20220115-2022-0900.webl.h264_334,382.42,390.64,2,4
TV-20220115-2022-0900.webl.h264_335,390.66,406.53,1,1
TV-20220115-2022-0900.webl.h264_336,406.53,421.68,2,3
TV-20220115-2022-0900.webl.h264_337,421.743,430.81,1,1
TV-20220115-2022-0900.webl.h264_338,479.44,487.73,1,1
TV-20220115-2022-0900.webl.h264_339,487.73,493.18,2,4
TV-20220115-2022-0900.webl.h264_340,493.18,516.15,1,1
TV-20220115-2022-0900.webl.h264_341,516.16,523.76,2,4
TV-20220115-2022-0900.webl.h264_342,523.77,534.17,2,4
TV-20220115-2022-0900.webl.h264_343,534.19,575.36,1,1
TV-20220121-2020-0300.webl.h264_344,584.56,613.37,1,1
TV-20220121-2020-0300.webl.h264_345,613.42,626.44,1,1
TV-20220121-2020-0300.webl.h264_346,626.46,636.53,2,3
TV-20220121-2020-0300.webl.h264_347,636.63,650.52,1,1
TV-20220121-2020-0300.webl.h264_348,661.14,669.13,1,1
TV-20220121-2020-0300.webl.h264_349,669.13,679.59,2,3
TV-20220121-2020-0300.webl.h264_350,679.59,699.44,1,1
TV-20220121-2020-0300.webl.h264_351,699.44,714.6,2,3
TV-20220121-2020-0300.webl.h264_352,714.6,721.87,1,1
TV-20220114-2036-2200.webl.h264_353,16.22,58.22,0,0
TV-20220114-2036-2200.webl.h264_354,58.414,85.525,1,1
TV-20220114-2036-2200.webl.h264_355,86.22,105.94,2,3
TV-20220114-2036-2200.webl.h264_356,105.94,120.89,1,1
TV-20220114-2036-2200.webl.h264_357,120.89,129.82,2,3
TV-20220114-2036-2200.webl.h264_358,129.83,145.42,1,1
TV-20220114-2036-2200.webl.h264_359,168.78,179.0,1,1
TV-20220114-2036-2200.webl.h264_360,179.0,227.52,0,0
TV-20220123-2024-3200.webl.h264_361,23.36,49.48,0,0
TV-20220123-2024-3200.webl.h264_362,49.49,71.424,1,1
TV-20220123-2024-3200.webl.h264_363,92.368,103.339,1,1
TV-20220123-2024-3200.webl.h264_364,103.339,119.191,2,3
TV-20220123-2024-3200.webl.h264_365,119.371,151.85,1,1
TV-20220123-2024-3200.webl.h264_366,152.191,168.243,2,5
TV-20220123-2024-3200.webl.h264_367,168.247,187.376,1,1
TV-20230101-2021-5900.webl.h264_368,4.83,8.06,1,1
TV-20230101-2021-5900.webl.h264_369,15.67,18.119,1,1
TV-20230101-2021-5900.webl.h264_370,18.308,50.49,0,0
TV-20230101-2021-5900.webl.h264_371,51.75,71.14,1,1
TV-20230101-2021-5900.webl.h264_372,71.549,87.03,2,2
TV-20230101-2021-5900.webl.h264_373,87.642,116.68,1,1
TV-20230101-2021-5900.webl.h264_374,116.874,130.999,2,2
TV-20230101-2021-5900.webl.h264_375,131.588,140.657,1,1
TV-20230101-2021-5900.webl.h264_376,142.097,193.9,0,0
TV-20230101-2021-5900.webl.h264_377,195.146,208.8,1,1
TV-20230101-2021-5900.webl.h264_378,209.724,224.847,2,4
TV-20230101-2021-5900.webl.h264_379,224.97,233.885,2,4
TV-20230101-2021-5900.webl.h264_380,234.37,251.508,1,1
TV-20230101-2021-5900.webl.h264_381,251.698,261.924,2,5
TV-20230101-2021-5900.webl.h264_382,264.633,293.91,1,1
TV-20230101-2021-5900.webl.h264_383,294.424,317.582,0,0
TV-20230101-2021-5900.webl.h264_384,318.227,335.754,1,1
TV-20230101-2021-5900.webl.h264_385,336.322,357.588,1,1
TV-20230101-2021-5900.webl.h264_386,358.307,366.456,1,1
TV-20230101-2021-5900.webl.h264_387,366.605,377.813,2,2
TV-20230101-2021-5900.webl.h264_388,378.648,386.729,1,1
TV-20230101-2021-5900.webl.h264_389,387.088,405.611,2,2
TV-20230101-2021-5900.webl.h264_390,406.02,413.565,1,1
TV-20230101-2021-5900.webl.h264_391,414.023,498.48,0,0
TV-20230101-2021-5900.webl.h264_392,499.902,514.61,1,1
TV-20230101-2021-5900.webl.h264_393,516.235,531.498,2,5
TV-20230101-2021-5900.webl.h264_394,532.826,562.23,1,1
TV-20230101-2021-5900.webl.h264_395,562.9,578.38,2,5
TV-20230101-2021-5900.webl.h264_396,579.809,597.711,1,1
TV-20230101-2021-5900.webl.h264_397,598.448,625.962,0,0
TV-20230101-2021-5900.webl.h264_398,626.798,636.18,1,1
TV-20230101-2021-5900.webl.h264_399,636.249,640.18,2,3
TV-20230101-2021-5900.webl.h264_400,640.688,671.39,1,1
TV-20230101-2021-5900.webl.h264_401,672.7,682.36,2,3
TV-20230101-2021-5900.webl.h264_402,682.58,685.95,1,1
TV-20230101-2021-5900.webl.h264_403,686.188,691.98,2,4
TV-20230101-2021-5900.webl.h264_404,692.13,702.15,2,4
TV-20230101-2021-5900.webl.h264_405,702.489,706.59,2,4
TV-20230101-2021-5900.webl.h264_406,706.69,709.25,2,4
TV-20230101-2021-5900.webl.h264_407,709.672,720.486,1,1
TV-20230101-2021-5900.webl.h264_408,721.395,738.47,0,0
TV-20230101-2021-5900.webl.h264_409,739.678,745.58,1,1
TV-20230101-2021-5900.webl.h264_410,746.4,752.19,2,2
TV-20230101-2021-5900.webl.h264_411,752.564,779.8,1,1
TV-20230101-2021-5900.webl.h264_412,781.606,790.91,2,2
TV-20230101-2021-5900.webl.h264_413,791.611,805.205,1,1
TV-20230101-2021-5900.webl.h264_414,806.06,839.071,1,1
TV-20230101-2021-5900.webl.h264_415,844.159,848.53,0,0
TV-20230101-2021-5900.webl.h264_416,849.269,895.98,1,1
TV-20230101-2021-5900.webl.h264_417,898.18,904.699,0,0
TV-20230116-2021-1400.webl.h264_418,4.443,7.59,0,0
TV-20230116-2021-1400.webl.h264_419,15.102,17.674,0,0
TV-20230116-2021-1400.webl.h264_420,18.207,46.921,0,0
TV-20230116-2021-1400.webl.h264_421,47.999,101.13,1,1
TV-20230116-2021-1400.webl.h264_422,101.509,109.04,2,5
